dateRep,cases
2020-02-28,0
2020-02-29,2
2020-03-01,4
2020-03-02,7
2020-03-03,2
2020-03-04,2
2020-03-05,6
2020-03-06,10
2020-03-07,16
2020-03-08,2
2020-03-09,33
2020-03-10,16
2020-03-11,38
2020-03-12,65
2020-03-13,83
2020-03-14,104
2020-03-15,124
2020-03-16,191
2020-03-17,282
2020-03-18,279
2020-03-19,436
2020-03-20,619
2020-03-21,883
2020-03-22,874
2020-03-23,1174
2020-03-24,1044
2020-03-25,1077
2020-03-26,1357
2020-03-27,1433
2020-03-28,1756
2020-03-29,1737
2020-03-30,1588
2020-03-31,1456
2020-04-01,2601
2020-04-02,3175
2020-04-03,2585
2020-04-04,2839
2020-04-05,2849
2020-04-06,2869
2020-04-07,2471
2020-04-08,3726
2020-04-09,5948
2020-04-10,5093
2020-04-11,6556
2020-04-12,3960
2020-04-13,3829
2020-04-14,2605
2020-04-15,6179
2020-04-16,6193
2020-04-17,5374
2020-04-18,6628
2020-04-19,6374
2020-04-20,5965
2020-04-21,5189
2020-04-22,6046
2020-04-23,7051
2020-04-24,8284
2020-04-25,7049
2020-04-26,12044
2020-04-27,19411
2020-04-28,8571
2020-04-29,11838
2020-04-30,12108
2020-05-01,14367
2020-05-02,15094
2020-05-03,12781
2020-05-04,14074
2020-05-05,14095
2020-05-06,14802
2020-05-07,15912
2020-05-08,19687
2020-05-09,17395
2020-05-10,19149
2020-05-11,14508
2020-05-12,11407
2020-05-13,19129
2020-05-14,22316
2020-05-15,25338
2020-05-16,27346
2020-05-17,26318
2020-05-18,18521
2020-05-19,23446
2020-05-20,31442
2020-05-21,34042
2020-05-22,33214
2020-05-23,35029
2020-05-24,31551
2020-05-25,30490
2020-05-26,27286
2020-05-27,33276
2020-05-28,39289
2020-05-29,44853
2020-05-30,44598
2020-05-31,52962
2020-06-01,37611
2020-06-02,30122
2020-06-03,41323
2020-06-04,51728
2020-06-05,48767
